artifact	upstream	revision_or_range	shape_or_format	license	sha256
decoder-token-embedding-51865.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	checkpoint-bytes-707240..80371879	F32[51865,384]	Apache-2.0	c103d562a3d8f375c784775300eb26fb729ad8f8476ffe123c36d80dfbead495
decoder-position-448.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	checkpoint-bytes-19112..707239	F32[448,384]	Apache-2.0	c13450ae630323a0bdd39b1226f92a7ac251131a909c7efdb7d2f5516736eb83
vocab.json	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/vocab.json	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	JSON[token-string->id]	Apache-2.0	8f680bba319e01a653d2e8a5dbc17a9157179e0576e6ce74ce0c06356c6e24f9
merges.txt	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/merges.txt	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	GPT2-BPE-50000-merges	Apache-2.0	2df2990a395e35e8dfbc7511e08c12d56018d8d04691e0133e5d63b21e154dc6
tokenizer-config.json	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/tokenizer_config.json	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	JSON[special-token-map]	Apache-2.0	2a4c4281cf9f51ac6ccc406fdc711a087afe6530f671fa7b80953edc498275ce
generation-config.json	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/generation_config.json	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	JSON[forced+suppress+no-timestamps-policy]	Apache-2.0	a5d5325911f16e74001a72fa13d6e208eee51548f994646de1f4b4cc8b35b512
