artifact	upstream	revision_or_media_id	shape_or_format	license	sha256
encoder-conv1-bias.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	F32[384]	Apache-2.0	a8deb23b8cb5d0a88ffa398c9951ef92a3e47d44b32412dcb40b01895ec4772f
encoder-conv1-weight.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	F32[384,80,3]	Apache-2.0	bb6642598e3efd8ea1fe81605f864342bb174604cba8dee5c23aa223fc126ecb
encoder-conv2-bias.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	F32[384]	Apache-2.0	76fb23900c7e77f0c0f1938404ba9c3d1ca569115abb62daa8d9cb3ac08192b3
encoder-conv2-weight.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	F32[384,384,3]	Apache-2.0	3b38df5c53ddbe1e9a38fdebb02d0d59b3ed3a4626409499bf1c4ea9ef2dc8d4
encoder-position-layer0.f32	https://huggingface.co/openai/whisper-tiny/blob/169d4a4341b33bc18d8881c4b69c2e104e1cc0af/model.safetensors	169d4a4341b33bc18d8881c4b69c2e104e1cc0af	F32[2350848]-contiguous-embed_positions+encoder_layer_norm+encoder.layers.0	Apache-2.0	f0574d9341a687e47d53dbe99f085fb5b5d39dba167fdd699c809276fceaf06f
lingua-libre-book-16k.wav	https://commons.wikimedia.org/wiki/File:LL-Q1860_(eng)-Simplificationalizer-book.wav	M92036254	PCM-S16LE/16000Hz/mono/bitexact-no-metadata	CC0	1166acadc40e8d60baa82c6321ba3445fda5305a46539c3d1a0cc43e425de523
